"AppliedConcentrations"	"Combo"	"NDrugs"	"WT"	"PI3K"	"Selectivity"	"EGFRi"	"IGF1Ri"	"RAFi"	"MEKi"	"ERKi"	"GSK3i"	"PI3Ki"	"AKTi"	"mTORi"
"EGFRi:0.00051 + GSK3i:0.36 + RAFi:0.00032"	"EGFRi+GSK3i+RAFi"	3.	0.78	0.82	0.043	0.00051	0	0.00032	0	0	0.36	0	0	0
"EGFRi:0.00060 + GSK3i:0.36 + mTORi:0.000014"	"EGFRi+GSK3i+mTORi"	3.	0.78	0.83	0.05	0.0006	0	0	0	0	0.36	0	0	0.000014
"EGFRi:0.00037 + MEKi:0.00028 + RAFi:0.00032"	"EGFRi+MEKi+RAFi"	3.	0.79	0.81	0.021	0.00037	0	0.00032	0.00028	0	0	0	0	0
"EGFRi:0.00045 + MEKi:0.00028 + mTORi:0.000014"	"EGFRi+MEKi+mTORi"	3.	0.79	0.82	0.027	0.00045	0	0	0.00028	0	0	0	0	0.000014
"EGFRi:0.00071 + RAFi:0.00032 + mTORi:0.000014"	"EGFRi+RAFi+mTORi"	3.	0.78	0.83	0.053	0.00071	0	0.00032	0	0	0	0	0	0.000014
"              -6
ERKi:6.7 10 + GSK3i:0.36 + MEKi:0.00028"	"ERKi+GSK3i+MEKi"	3.	0.79	0.81	0.017	0	0	0	0.00028	6.7e-6	0.36	0	0	0
"ERKi:0.000012 + GSK3i:0.36 + RAFi:0.00032"	"ERKi+GSK3i+RAFi"	3.	0.78	0.82	0.042	0	0	0.00032	0	0.000012	0.36	0	0	0
"ERKi:0.000014 + GSK3i:0.36 +                -6
mTORi:9.5 10"	"ERKi+GSK3i+mTORi"	3.	0.78	0.83	0.048	0	0	0	0	0.000014	0.36	0	0	9.5e-6
"              -6
ERKi:8.7 10 + MEKi:0.00028 + RAFi:0.00032"	"ERKi+MEKi+RAFi"	3.	0.79	0.81	0.02	0	0	0.00032	0.00028	8.7e-6	0	0	0	0
"ERKi:0.000011 + MEKi:0.00028 + mTORi:0.000010"	"ERKi+MEKi+mTORi"	3.	0.79	0.81	0.026	0	0	0	0.00028	0.000011	0	0	0	0.00001
"ERKi:0.000016 + RAFi:0.00032 +                -6
mTORi:9.0 10"	"ERKi+RAFi+mTORi"	3.	0.78	0.83	0.051	0	0	0.00032	0	0.000016	0	0	0	9.e-6
"GSK3i:0.36 + IGF1Ri:0.0016 + MEKi:0.00028"	"GSK3i+IGF1Ri+MEKi"	3.	0.8	0.86	0.063	0	0.0016	0	0.00028	0	0.36	0	0	0
"GSK3i:0.36 + PI3Ki:0.0052"	"GSK3i+PI3Ki"	2.	0.79	0.89	0.098	0	0	0	0	0	0.36	0.0052	0	0
"GSK3i:0.36 + MEKi:0.00028 + PI3Ki:0.0030"	"GSK3i+MEKi+PI3Ki"	3.	0.79	0.83	0.046	0	0	0	0.00028	0	0.36	0.003	0	0
"GSK3i:0.36 + MEKi:0.00028 + RAFi:0.00032"	"GSK3i+MEKi+RAFi"	3.	0.85	0.84	-0.0038	0	0	0.00032	0.00028	0	0.36	0	0	0
"GSK3i:0.36 + MEKi:0.00028 + mTORi:0.00014"	"GSK3i+MEKi+mTORi"	3.	0.82	0.84	0.014	0	0	0	0.00028	0	0.36	0	0	0.00014
"GSK3i:0.36 + PI3Ki:0.0052 + RAFi:0.00032"	"GSK3i+PI3Ki+RAFi"	3.	0.77	0.87	0.094	0	0	0.00032	0	0	0.36	0.0052	0	0
"GSK3i:0.36 + PI3Ki:0.0045 + mTORi:0.00014"	"GSK3i+PI3Ki+mTORi"	3.	0.77	0.87	0.1	0	0	0	0	0	0.36	0.0045	0	0.00014
"GSK3i:0.36 + RAFi:0.00032 + mTORi:0.00014"	"GSK3i+RAFi+mTORi"	3.	0.87	0.89	0.027	0	0	0.00032	0	0	0.36	0	0	0.00014
"MEKi:0.00028 + PI3Ki:0.0049"	"MEKi+PI3Ki"	2.	0.78	0.85	0.075	0	0	0	0.00028	0	0	0.0049	0	0
"IGF1Ri:0.0021 + MEKi:0.00028 + RAFi:0.00032"	"IGF1Ri+MEKi+RAFi"	3.	0.8	0.88	0.082	0	0.0021	0.00032	0.00028	0	0	0	0	0
"IGF1Ri:0.0015 + MEKi:0.00028 + mTORi:0.00014"	"IGF1Ri+MEKi+mTORi"	3.	0.8	0.88	0.076	0	0.0015	0	0.00028	0	0	0	0	0.00014
"MEKi:0.00028 + PI3Ki:0.0039 + RAFi:0.00032"	"MEKi+PI3Ki+RAFi"	3.	0.78	0.84	0.059	0	0	0.00032	0.00028	0	0	0.0039	0	0
"MEKi:0.00028 + PI3Ki:0.0031 + mTORi:0.00014"	"MEKi+PI3Ki+mTORi"	3.	0.78	0.84	0.063	0	0	0	0.00028	0	0	0.0031	0	0.00014
"MEKi:0.00028 + RAFi:0.00032 + mTORi:0.00014"	"MEKi+RAFi+mTORi"	3.	0.84	0.85	0.011	0	0	0.00032	0.00028	0	0	0	0	0.00014
